Id,StateAbbr,ClientUno,County,StateName,PostalCode,EthnicIdentity,Age,Gender,MaritalStatus,Veteran,Imprisoned,NumberInHousehold,AnnualIncome,AllowedIncome,CheckingBalance,SavingsBalance,InvestmentsBalance,CreatedUtc
1,MS,B731DA7A-A97A-4A2E-BF11-0A126A05AF70,Washington,Mississippi,73179,,NULL,NULL,NULL,NULL,No,3,26000,37190,300,NULL,NULL,########
2,MS,8101DB7C-0CC8-4DE9-9E87-71137269AAD5,Harrison,Mississippi,39560,Caucasian,NULL,Male,Divorced or Widowed,NULL,No,2,52,25390,1,1,NULL,########
3,GA,DD5F1EFC-8298-457F-BC09-CABBEB57A697,Barrow,Georgia,30157,Latino or Hispanic,55,Male,Single,NULL,No,5,3000,60790,NULL,NULL,NULL,########
4,TX,21DC9E3D-D0AA-4B85-88BB-428F5BCF7F13,Lubbock,Texas,79416,Other,61,Female,Married / remarried,No,No,4,15600,48990,100,NULL,NULL,########
5,ID,3782D4F9-9B16-4BC8-ADA3-F85CEE200630,Boise,Idaho,83705,Caucasian,65,Male,Single,No,No,1,15000,13590,580,25,NULL,########
6,CT,F8C0C4C9-0555-4BAF-9324-B2A8DF4E7DF6,New Haven,Connecticut,6511,African American,NULL,Female,Single,NULL,No,3,16800,37190,65,NULL,NULL,########
7,GA,4FF99CB4-7B0C-4EB6-A398-2AB66ED2C171,DeKalb,Georgia,30329,Caucasian,30,Male,Married / remarried,NULL,No,1,24000,13590,NULL,NULL,NULL,########
8,MS,09113F3F-95A2-470B-99B8-12D24E53E388,Lauderdale,Mississippi,39301,Caucasian,NULL,I'd rather not answer,I'd rather not answer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
9,VT,8CB82528-2C00-457E-B598-3FFF65DF4C57,Rutland,Vermont,5701,I'd rather not answer,NULL,I'd rather not answer,I'd rather not answer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
10,WY,4E70BEE4-8BA2-4D04-982E-113E707F9934,Carbon,Wyoming,82301,Caucasian,NULL,Female,Divorced or Widowed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
11,CT,B326BB3C-940C-4146-9DDB-1E892F18884A,Hartford,Connecticut,6001,I'd rather not answer,NULL,I'd rather not answer,I'd rather not answer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
12,MS,EE8F1577-99EF-45B4-AC14-BDEC2FB0E042,Harrison,Mississippi,39532,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
13,NY,2082AB79-7348-4962-AF85-4A651AFCF72F,New York,New York,12207,I'd rather not answer,NULL,I'd rather not answer,I'd rather not answer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,########
